ID,Coordenadas,Features,Cluster
129,"[-32, 66]","[129.0, 7.914512, 2.42999, -5.981207, 51.01102, 10.592448]",2
133,"[-31, 66]","[133.0, 8.223078, 3.428623, -5.663127, 50.953577, 3.084003]",2
103,"[-38, 65]","[103.0, 13.292448, 10.770606, 4.443789, 168.368367, 18.163417]",2
99,"[-39, 65]","[99.0, 7.666905, 2.684228, -6.359078, 43.681796, 8.432005]",2
98,"[-39, 64]","[98.0, 13.224837, 11.207052, 5.28139, 147.631816, 21.283601]",2
97,"[-39, 62]","[97.0, 15.562313, 7.956416, 4.674038, 72.892649, 14.879745]",2
143,"[-28, 61]","[143.0, 19.007339, 12.120501, 8.733333, 157.488307, 22.0]",2
132,"[-31, 60]","[132.0, 17.62586, 12.046435, 8.733333, 151.902624, 14.098593]",2
128,"[-32, 57]","[128.0, 4.069689, 3.563167, 0.0, 47.495177, 6.433249]",2
23,"[-57, 67]","[23.0, 18.590713, 12.4147, 8.733333, 162.56981, 19.414953]",2
70,"[-46, 65]","[70.0, 14.312245, 11.590127, 6.830768, 144.434061, 18.074125]",2
69,"[-46, 63]","[69.0, 6.427232, 2.370909, -8.675429, 50.26547, 8.737415]",2
68,"[-46, 60]","[68.0, 10.647107, 11.496461, 5.4998, 174.099115, 17.035693]",2
114,"[-36, 54]","[114.0, -1.359721, 1.164141, 0.0, 38.427987, 10.14063]",2
85,"[-42, 53]","[85.0, 17.434508, 10.573564, 6.346324, 153.751362, 17.854726]",2
47,"[-50, 65]","[47.0, 13.352938, 10.459123, 3.640715, 153.013457, 15.865792]",2
37,"[-52, 65]","[37.0, 10.614103, 2.744945, -4.646517, 50.455401, 7.099667]",2
27,"[-55, 65]","[27.0, 16.62495, 11.400728, 8.56734, 165.04732, 21.234699]",2
53,"[-49, 64]","[53.0, 17.661152, 11.29938, 8.629972, 158.083317, 16.676601]",2
52,"[-49, 63]","[52.0, 18.978332, 11.537578, 8.524671, 145.576208, 14.100128]",2
51,"[-49, 61]","[51.0, 22.0, 13.233297, 8.733333, 143.37457, 18.110955]",2
50,"[-49, 57]","[50.0, 22.0, 11.265729, 8.648165, 149.350699, 20.355624]",2
60,"[-48, 55]","[60.0, 14.206082, 11.226936, 6.62851, 160.397401, 16.591531]",2
82,"[-43, 51]","[82.0, 21.554542, 12.349254, 8.733333, 148.536356, 17.905021]",2
79,"[-44, 51]","[79.0, 15.552503, 11.270753, 8.645497, 165.476395, 16.45567]",2
35,"[-53, 62]","[35.0, 12.705023, 12.92966, 8.465677, 148.394801, 18.093903]",2
42,"[-51, 52]","[42.0, 14.98864, 11.590215, 8.518466, 173.025082, 20.246407]",2
41,"[-51, 51]","[41.0, 16.311153, 13.147328, 8.733333, 134.355506, 20.536047]",2
34,"[-53, 60]","[34.0, 8.811567, 0.68072, -5.271219, 51.991603, 10.601248]",2
15,"[-60, 60]","[15.0, 16.365466, 11.126021, 8.707704, 169.723748, 22.0]",2
31,"[-54, 57]","[31.0, 13.076197, 10.979417, 5.080534, 165.75629, 22.0]",2
22,"[-57, 58]","[22.0, 13.0673, 11.456452, 5.427106, 165.509504, 18.945015]",2
14,"[-60, 57]","[14.0, 11.486863, 12.541139, 7.92665, 156.987935, 22.0]",2
21,"[-57, 56]","[21.0, 14.167617, 12.717442, 8.527718, 158.100983, 19.052033]",2
24,"[-56, 49]","[24.0, 19.778352, 10.718719, 7.000981, 178.535609, 18.868034]",2
20,"[-57, 53]","[20.0, 17.515447, 11.346265, 8.602292, 155.193466, 20.956374]",2
18,"[-59, 54]","[18.0, 16.148046, 11.674652, 8.614888, 173.018395, 16.300394]",2
17,"[-59, 52]","[17.0, 8.07492, 3.825727, -5.484162, 34.034067, 11.669188]",2
8,"[-62, 50]","[8.0, 3.427983, 3.10336, 0.0, 38.736215, 10.917697]",2
46,"[-50, 48]","[46.0, 5.769548, 3.581172, -8.476676, 51.076006, 2.750362]",2
75,"[-45, 48]","[75.0, 6.639634, 3.327512, -8.538741, 61.359997, 5.402908]",2
