ID,Coordenadas,Features,Cluster
298,"[24, 49]","[298.0, 8.959163, 5.424461, -0.0, 46.769468, 9.240831]",0
299,"[24, 64]","[299.0, 10.858132, 11.702873, 6.189005, 156.091013, 20.456623]",0
267,"[17, 66]","[267.0, 8.260863, 8.808439, -0.0, 81.663475, 16.310508]",0
206,"[0, 67]","[206.0, 15.781557, 3.536157, -4.391408, 49.754248, 2.437103]",0
185,"[-7, 61]","[185.0, 10.393507, 8.29157, -0.0, 79.561814, 17.324385]",0
187,"[-6, 48]","[187.0, 16.179144, 10.662023, 6.73566, 161.202828, 20.178804]",0
289,"[22, 22]","[289.0, 5.449082, 2.215854, -8.722325, 35.178685, 10.950636]",0
290,"[22, 23]","[290.0, 18.947044, 12.801704, 8.733333, 150.617528, 14.578461]",0
292,"[23, 25]","[292.0, 14.575892, 10.043246, 4.238222, 175.232693, 22.0]",0
293,"[23, 57]","[293.0, 8.495869, 4.035976, -5.037253, 38.960815, 8.952223]",0
294,"[23, 59]","[294.0, 12.064113, 11.827086, 6.59829, 155.853411, 22.0]",0
295,"[23, 60]","[295.0, 3.00066, 2.519063, 0.0, 44.674335, 7.360955]",0
209,"[1, 64]","[209.0, 12.71563, 9.404933, 1.768087, 76.218429, 16.317317]",0
239,"[8, 63]","[239.0, 5.044648, 2.095346, -8.729488, 49.12796, 4.288641]",0
230,"[6, 62]","[230.0, 8.689108, 10.449486, 3.297576, 162.146864, 22.0]",0
224,"[5, 60]","[224.0, 4.085124, 3.449378, 0.0, 56.287365, 8.304987]",0
212,"[2, 44]","[212.0, 17.799856, 12.306158, 8.733333, 151.695315, 15.770625]",0
217,"[3, 45]","[217.0, 12.425112, 2.495414, -4.386572, 53.185514, 9.624003]",0
223,"[5, 45]","[223.0, 15.614816, 12.171586, 8.716789, 180.107718, 22.0]",0
265,"[16, 45]","[265.0, 3.947976, 3.323213, 0.0, 24.780411, 6.773977]",0
285,"[21, 45]","[285.0, 6.108067, 2.87511, -8.63419, 63.088626, 6.685188]",0
291,"[22, 54]","[291.0, 14.963949, 7.818157, 4.661786, 105.087725, 14.639037]",0
275,"[18, 64]","[275.0, 5.94033, 2.688571, -8.666216, 47.748368, 5.999903]",0
282,"[20, 57]","[282.0, 20.292106, 12.404253, 8.733333, 158.301257, 19.153661]",0
286,"[21, 52]","[286.0, 17.754548, 12.540633, 8.733333, 142.31586, 22.0]",0
280,"[19, 47]","[280.0, 8.932359, 1.985056, -5.20839, 40.069902, 4.150232]",0
245,"[9, 62]","[245.0, 9.064606, 4.478958, -1.909632, 34.201337, 14.010172]",0
274,"[18, 52]","[274.0, 10.841211, 2.091254, -4.567063, 62.298414, 9.195089]",0
273,"[18, 47]","[273.0, 14.319811, 13.460013, 8.554428, 161.806641, 22.0]",0
229,"[6, 59]","[229.0, 19.491712, 12.477227, 8.733333, 162.877215, 21.379534]",0
256,"[13, 58]","[256.0, 15.359863, 11.154056, 8.696049, 168.412457, 18.158453]",0
244,"[9, 58]","[244.0, 17.006515, 10.430685, 5.761563, 161.021077, 19.875182]",0
249,"[11, 46]","[249.0, 11.839704, 12.836634, 8.588783, 155.494014, 15.203091]",0
233,"[7, 55]","[233.0, 9.518317, 4.877865, -0.425998, 43.020414, 5.543621]",0
243,"[9, 54]","[243.0, 10.681885, 7.997145, -0.0, 87.870667, 15.839113]",0
232,"[7, 46]","[232.0, 19.312186, 13.053305, 8.733333, 176.74216, 18.875011]",0
196,"[-2, 47]","[196.0, 17.689335, 11.088101, 8.718658, 162.942037, 20.382368]",0
272,"[18, 41]","[272.0, 10.788428, 7.490288, -0.0, 81.102188, 15.590672]",0
279,"[19, 36]","[279.0, 18.308132, 11.061699, 8.724641, 163.656172, 19.468735]",0
271,"[18, 30]","[271.0, 6.53938, 3.085189, -8.592707, 50.894334, 7.189794]",0
261,"[15, 39]","[261.0, 6.529752, 2.76614, -8.653608, 39.067497, 6.919771]",0
255,"[13, 39]","[255.0, 5.794553, 2.139184, -8.710623, 46.991894, 10.85298]",0
228,"[6, 38]","[228.0, 14.874631, 11.601667, 8.134328, 186.173349, 18.595705]",0
222,"[5, 38]","[222.0, 19.968569, 12.646971, 8.733333, 153.064046, 20.65927]",0
205,"[0, 39]","[205.0, 16.082393, 11.010437, 8.732073, 171.521658, 20.185948]",0
211,"[2, 37]","[211.0, 12.755175, 11.251123, 5.073943, 161.249882, 17.153478]",0
216,"[3, 37]","[216.0, 14.417958, 12.095142, 8.570826, 156.798038, 22.0]",0
238,"[8, 37]","[238.0, 9.655288, 3.664734, -5.154789, 40.749415, 4.870675]",0
266,"[17, 28]","[266.0, 4.113011, 3.079934, 0.0, 47.696486, 7.760321]",0
270,"[18, 27]","[270.0, 11.386122, 3.897888, -4.55611, 56.741168, 4.577957]",0
278,"[19, 25]","[278.0, 6.998188, 3.787346, -8.421849, 42.616985, 7.95752]",0
227,"[6, 32]","[227.0, 3.200238, 2.790103, 0.0, 38.914426, 10.65191]",0
246,"[10, 30]","[246.0, 18.576964, 11.910378, 8.718312, 140.352476, 19.441566]",0
251,"[12, 29]","[251.0, 14.55402, 10.806694, 6.094327, 152.397476, 18.650286]",0
254,"[13, 28]","[254.0, 16.587041, 11.92868, 8.722468, 160.032261, 16.304869]",0
215,"[3, 31]","[215.0, 13.575009, 7.952131, 3.163995, 82.882281, 15.443222]",0
221,"[4, 31]","[221.0, 8.841845, 4.858593, -0.553774, 44.451139, 11.431037]",0
242,"[9, 25]","[242.0, 14.75968, 13.197771, 8.623834, 137.984781, 18.268749]",0
231,"[7, 27]","[231.0, 9.317664, 3.441327, -5.196806, 41.731858, 7.579035]",0
220,"[4, 25]","[220.0, 12.920092, 7.060465, 2.155324, 90.634596, 16.779567]",0
204,"[0, 25]","[204.0, 11.475816, 10.038876, 0.507414, 68.510877, 15.107339]",0
210,"[2, 23]","[210.0, 13.919479, 12.400738, 8.481973, 158.831157, 21.562607]",0
195,"[-3, 21]","[195.0, 7.692185, 8.347593, -0.0, 86.607071, 15.631989]",0
219,"[4, 21]","[219.0, 5.315689, 1.729406, -8.727708, 42.074119, 9.167799]",0
253,"[13, 20]","[253.0, 20.909312, 12.54087, 8.733333, 175.105824, 20.851105]",0
237,"[8, 20]","[237.0, 9.334684, 2.52893, -5.026304, 43.192606, 1.013136]",0
208,"[1, 20]","[208.0, 17.475184, 12.173247, 8.733333, 165.40364, 15.982393]",0
182,"[-8, 37]","[182.0, 10.301837, 3.319949, -4.822766, 49.399979, 7.971425]",0
180,"[-9, 55]","[180.0, 17.787816, 14.050043, 8.733333, 172.665285, 17.397704]",0
177,"[-11, 61]","[177.0, 15.013702, 12.975841, 8.658065, 155.770805, 12.914914]",0
173,"[-13, 60]","[173.0, 7.264627, 2.39547, -7.40066, 33.81268, 6.40514]",0
171,"[-14, 56]","[171.0, 12.163163, 12.401125, 8.545729, 177.446732, 17.389535]",0
164,"[-17, 58]","[164.0, 8.515915, 2.124126, -5.446991, 47.295969, 4.533412]",0
163,"[-17, 53]","[163.0, 22.0, 12.970448, 8.733333, 167.652512, 20.059046]",0
179,"[-9, 30]","[179.0, 5.655051, 3.308623, -8.543215, 37.763689, 9.946822]",0
176,"[-12, 50]","[176.0, 14.875596, 10.153871, 4.740828, 153.520884, 20.329431]",0
175,"[-12, 40]","[175.0, 4.922562, 3.648679, 0.0, 41.913582, 13.334768]",0
172,"[-13, 36]","[172.0, 14.147266, 7.222301, 3.815, 89.608252, 15.78683]",0
170,"[-14, 34]","[170.0, 13.354752, 10.791348, 4.556702, 179.121808, 22.0]",0
166,"[-15, 40]","[166.0, 5.860461, 3.747734, -8.432975, 48.97467, 6.964802]",0
162,"[-17, 24]","[162.0, 17.34343, 13.110424, 8.733333, 157.172363, 19.868143]",0
161,"[-18, 39]","[161.0, 11.487074, 8.767962, -0.0, 164.091821, 22.0]",0
160,"[-18, 30]","[160.0, 2.086532, 1.194627, 0.0, 51.125113, 7.106909]",0
189,"[-5, 20]","[189.0, 11.514446, 12.420684, 7.97649, 177.984945, 20.582411]",0
