ID,Coordenadas,Features,Cluster
142,"[-28, 25]","[142.0, 16.682835, 12.315986, 8.733333, 156.767081, 19.653215]",1
121,"[-34, 26]","[121.0, 6.78224, 2.82317, -8.643556, 48.120238, 7.792357]",1
158,"[-21, -2]","[158.0, 8.886429, 3.82607, -5.423772, 57.615507, 4.500005]",1
157,"[-21, -5]","[157.0, 6.56836, 2.708137, -8.663115, 44.362169, 2.493084]",1
156,"[-21, -13]","[156.0, 14.078645, 11.485118, 6.394478, 143.066563, 15.616916]",1
134,"[-30, -21]","[134.0, 9.436585, 6.617379, -0.0, 75.697938, 14.828644]",1
94,"[-39, -20]","[94.0, 15.308895, 10.171164, 4.963855, 148.534924, 16.388311]",1
100,"[-38, -20]","[100.0, 19.255294, 10.730913, 7.061195, 150.479318, 14.6348]",1
119,"[-34, -20]","[119.0, 15.860908, 10.985549, 8.614897, 148.312772, 20.286679]",1
155,"[-22, 6]","[155.0, 17.143989, 10.737435, 7.093797, 161.640103, 20.838105]",1
154,"[-23, 9]","[154.0, 18.538411, 11.407344, 8.562977, 152.254869, 16.307198]",1
153,"[-23, -3]","[153.0, 8.479397, 2.095274, -5.471745, 54.749502, 10.912213]",1
152,"[-23, -9]","[152.0, 16.647596, 12.405493, 8.733333, 164.359442, 20.472257]",1
151,"[-23, -13]","[151.0, 14.380375, 10.146992, 4.082034, 167.963676, 19.845524]",1
145,"[-26, -19]","[145.0, 21.407085, 11.731817, 8.646864, 158.875633, 19.337319]",1
86,"[-41, -19]","[86.0, 0.268582, 0.513716, 0.0, 28.011359, 5.788821]",1
149,"[-24, -6]","[149.0, 10.790897, 12.652699, 7.052666, 152.221562, 22.0]",1
150,"[-24, 5]","[150.0, 18.778502, 13.082241, 8.733333, 164.901592, 18.497322]",1
148,"[-25, -8]","[148.0, 15.070328, 10.913041, 8.013386, 148.575718, 21.612178]",1
146,"[-26, -8]","[146.0, 12.400683, 12.061445, 8.511849, 166.098461, 18.174698]",1
147,"[-26, 9]","[147.0, 9.509774, 6.638485, -0.0, 90.485808, 15.588749]",1
144,"[-27, 9]","[144.0, 5.984131, 2.746055, -8.657046, 51.001425, 6.174258]",1
110,"[-36, -12]","[110.0, 14.799967, 12.405605, 8.629625, 163.615872, 16.092579]",1
140,"[-28, -8]","[140.0, 15.806927, 10.877688, 7.865201, 160.963929, 20.658996]",1
141,"[-28, 9]","[141.0, 10.523847, 8.149809, -0.0, 80.931088, 15.047364]",1
137,"[-29, 2]","[137.0, 10.273764, 5.177779, -0.0, 30.589864, 4.903447]",1
136,"[-29, -9]","[136.0, 1.280942, 0.867905, 0.0, 63.044938, 6.478031]",1
130,"[-31, -9]","[130.0, 12.271475, 11.919022, 7.307552, 177.689916, 15.172135]",1
83,"[-42, -10]","[83.0, 9.570188, 6.685276, -0.0, 73.638718, 15.837498]",1
77,"[-44, -14]","[77.0, 13.93234, 12.626279, 8.484395, 149.364388, 20.942345]",1
76,"[-44, -17]","[76.0, 17.000749, 12.213996, 8.733333, 157.602687, 18.859362]",1
43,"[-50, -22]","[43.0, 16.20292, 11.792697, 8.676628, 153.288098, 22.0]",1
44,"[-50, -20]","[44.0, 12.146685, 10.796732, 4.169803, 159.157079, 22.0]",1
71,"[-45, -10]","[71.0, 5.920527, 8.022608, -0.0, 62.745722, 16.555139]",1
72,"[-45, -9]","[72.0, 9.715677, 9.701335, -0.0, 64.058163, 15.104887]",1
90,"[-40, -8]","[90.0, 6.837926, 0.807565, -8.645748, 43.822017, 10.731448]",1
135,"[-30, 4]","[135.0, 12.260151, 14.789081, 8.531935, 163.891457, 19.615914]",1
131,"[-31, 5]","[131.0, 21.658741, 12.886377, 8.733333, 156.137653, 16.141076]",1
65,"[-46, -7]","[65.0, 15.97185, 11.428754, 8.548435, 169.108966, 17.109861]",1
64,"[-46, -8]","[64.0, 7.246099, 1.964015, -7.468863, 55.468328, 5.71973]",1
54,"[-48, -19]","[54.0, 1.041932, 0.876345, 0.0, 46.55489, 7.344399]",1
126,"[-32, 0]","[126.0, 16.806672, 11.84313, 8.697298, 149.468976, 17.65223]",1
120,"[-34, 13]","[120.0, 14.094005, 11.937861, 7.497105, 160.255544, 14.403431]",1
123,"[-33, 1]","[123.0, 12.938519, 11.749968, 5.834093, 154.956375, 18.438638]",1
95,"[-39, -3]","[95.0, -0.226409, 2.532285, 0.0, 38.592905, 6.758083]",1
84,"[-42, -3]","[84.0, 16.145288, 8.566696, 4.666667, 97.382449, 15.865521]",1
38,"[-51, -14]","[38.0, 15.536371, 13.02118, 8.710921, 186.051958, 22.0]",1
48,"[-49, -14]","[48.0, 12.916919, 11.43143, 5.453543, 167.78279, 21.151761]",1
49,"[-49, -7]","[49.0, 15.501016, 12.348441, 8.70811, 150.257595, 13.278801]",1
55,"[-48, -4]","[55.0, 13.776411, 11.530191, 5.936255, 146.067274, 16.622989]",1
117,"[-35, 7]","[117.0, 12.068293, 10.61478, 3.754746, 165.255864, 20.061716]",1
116,"[-35, 6]","[116.0, 17.501558, 11.494457, 8.501058, 159.08461, 21.37205]",1
115,"[-35, -1]","[115.0, 17.376221, 12.942377, 8.733333, 161.809981, 22.0]",1
87,"[-41, -1]","[87.0, 6.208772, 2.308841, -8.688994, 46.096586, 9.319857]",1
9,"[-61, -16]","[9.0, 2.30047, 4.007773, 0.0, 30.186009, 7.49459]",1
12,"[-60, -15]","[12.0, 8.079704, 2.868062, -5.800125, 46.269471, 4.71997]",1
28,"[-54, -4]","[28.0, 18.505746, 11.288677, 8.635842, 179.151023, 20.369979]",1
25,"[-55, 10]","[25.0, 4.892337, 2.051519, 0.0, 49.942871, 10.695428]",1
10,"[-61, 10]","[10.0, 14.980478, 3.857733, -4.412545, 40.53005, 8.338834]",1
0,"[-64, 8]","[0.0, 22.0, 11.714314, 8.637468, 161.283403, 12.174695]",1
36,"[-52, 3]","[36.0, 12.899556, 8.475861, 2.117775, 70.094678, 15.242208]",1
104,"[-37, 3]","[104.0, 16.845787, 11.522617, 8.513879, 171.962505, 21.963084]",1
111,"[-36, 3]","[111.0, 5.39179, 2.177707, -8.725196, 52.98887, 8.142414]",1
57,"[-48, 9]","[57.0, 8.519213, 2.91331, -5.444876, 48.00486, 3.186453]",1
30,"[-54, 9]","[30.0, 15.87411, 11.063674, 8.724196, 165.301013, 22.0]",1
66,"[-46, 5]","[66.0, 16.341896, 10.369457, 5.519152, 151.341848, 21.360345]",1
19,"[-58, 7]","[19.0, 5.608355, 3.192182, -8.569566, 53.154885, 12.373903]",1
80,"[-43, 6]","[80.0, 3.999254, 2.852799, 0.0, 38.431841, 6.699172]",1
56,"[-48, 7]","[56.0, 4.116049, 1.974266, 0.0, 45.92308, 8.340258]",1
29,"[-54, 7]","[29.0, 19.75749, 12.853541, 8.733333, 154.86152, 20.723562]",1
73,"[-45, 8]","[73.0, 11.591198, 8.550855, -0.0, 61.036955, 16.052979]",1
105,"[-37, 13]","[105.0, 11.450224, 8.064517, -0.0, 86.473809, 14.584227]",1
88,"[-41, 15]","[88.0, 14.008041, 9.224688, 3.665201, 81.38048, 16.555757]",1
91,"[-40, 16]","[91.0, 17.669564, 11.646377, 8.597764, 172.814578, 16.118066]",1
101,"[-38, 16]","[101.0, 10.25314, 8.919867, -0.0, 79.977732, 16.409334]",1
39,"[-51, 18]","[39.0, 14.73583, 12.610305, 8.620365, 179.436845, 14.509243]",1
58,"[-48, 24]","[58.0, 18.855496, 13.406535, 8.733333, 167.665269, 13.272265]",1
61,"[-47, 19]","[61.0, 14.606953, 13.384499, 8.601068, 166.736987, 17.506935]",1
67,"[-46, 13]","[67.0, 18.350601, 12.597865, 8.733333, 164.658641, 19.034063]",1
74,"[-45, 16]","[74.0, 9.613316, 3.137025, -5.016304, 45.458411, 10.705794]",1
1,"[-64, 19]","[1.0, 14.252502, 11.729035, 6.713099, 185.383493, 19.735575]",1
4,"[-63, 21]","[4.0, 15.099512, 10.87167, 7.767083, 161.092479, 18.552006]",1
3,"[-63, 20]","[3.0, 14.929599, 12.32684, 8.647173, 175.65084, 16.70574]",1
