Ve1,Ve2,Ve3,Ve4,Veg,Vs1,Vs2,Vs3,Vs4,Vsg
0,5,2,0,0.046341463414634146,0,1,0,0,0.007317073170731708
0,3,2,0,0.03170731707317073,0,1,0,0,0.007317073170731708
1,4,0,0,0.04390243902439024,0,0,0,0,0.0
0,1,0,0,0.007317073170731708,0,0,0,0,0.0
1,1,0,0,0.02195121951219512,0,0,0,0,0.0
0,6,2,0,0.05365853658536585,0,0,0,0,0.0
0,0,0,0,0.0,0,0,0,0,0.0
0,3,1,0,0.026829268292682926,0,1,0,0,0.007317073170731708
0,2,1,0,0.01951219512195122,0,0,0,0,0.0
0,3,1,0,0.026829268292682926,0,0,1,0,0.004878048780487805





