ID,Coordenadas,Features,Cluster
39,"[8, 29]","[39.0, 17.393175, 14.253331, 8.733333, 26.222941, 3.160027]",3
36,"[5, 25]","[36.0, 14.642074, 12.351867, 8.606421, 30.389416, 6.834938]",3
6,"[-21, 46]","[6.0, 14.621462, 1.463106, -4.36266, 106.456614, 0.354636]",3
5,"[-21, 45]","[5.0, 10.955766, 9.485389, -0.0, 1.95173, 14.033748]",3
2,"[-25, 44]","[2.0, 14.698109, 13.586879, 8.614814, 86.302237, 4.168373]",3
1,"[-25, 41]","[1.0, 18.907009, 12.220855, 8.733333, 134.454047, 17.972046]",3
4,"[-23, 42]","[4.0, 14.616501, 13.700638, 8.602531, 51.356913, 18.061923]",3
13,"[-18, 36]","[13.0, 19.974414, 14.357504, 8.733333, 167.434127, 8.423106]",3
3,"[-23, 15]","[3.0, 16.428095, 1.904802, -4.333333, 138.880782, 2.721256]",3
0,"[-25, 14]","[0.0, 13.863501, 13.659714, 8.47116, 174.295304, 9.908539]",3
9,"[-20, 7]","[9.0, 20.084017, 14.362603, 8.733333, 181.288653, 11.979483]",3
10,"[-20, 10]","[10.0, 18.862776, 14.473328, 8.733333, 78.536915, 13.341729]",3
12,"[-18, 6]","[12.0, 16.306264, 14.558892, 8.733333, 134.287359, 18.817631]",3
23,"[-7, 9]","[23.0, 14.645388, 12.73694, 8.606922, 116.316417, 0.969741]",3
