ID,Coordenadas,Features,Cluster
71,"[23, 25]","[71.0, 13.477877, 12.610759, 8.393752, 115.210691, 1.549892]",2
65,"[20, 20]","[65.0, 13.876582, 13.363549, 8.473727, 51.052441, 8.218733]",2
70,"[23, 17]","[70.0, 6.22323, 3.862624, -8.40181, 45.977216, 16.308688]",2
69,"[22, 16]","[69.0, 4.716048, 2.23941, 0.0, 145.036471, 9.5353]",2
62,"[19, 18]","[62.0, 11.633148, 3.826427, -4.46262, 120.052429, 4.000482]",2
52,"[14, 19]","[52.0, 21.218071, 10.19554, 5.011175, 44.253146, 9.229389]",2
53,"[15, 16]","[53.0, 12.10853, 9.82647, 0.325684, 167.411289, 7.878824]",2
44,"[11, 17]","[44.0, 18.006788, 11.927999, 8.722314, 114.652077, 16.570412]",2
48,"[12, 15]","[48.0, 19.023338, 9.694695, 4.726229, 113.871637, 12.260439]",2
49,"[13, 14]","[49.0, 15.555085, 10.640472, 6.63848, 12.280288, 18.714936]",2
56,"[16, 8]","[56.0, 14.557681, 7.475461, 4.238231, 101.199891, 20.441724]",2
59,"[18, 33]","[59.0, 12.387536, 8.779016, 1.056502, 47.386077, 9.486806]",2
63,"[19, 32]","[63.0, 14.099209, 7.589356, 3.764001, 34.5209, 18.837525]",2
118,"[66, 44]","[118.0, 17.018116, 14.942021, 8.733333, 33.953413, 9.329866]",2
95,"[45, 44]","[95.0, 21.311279, 14.01016, 8.733333, 58.291426, 16.215598]",2
108,"[54, 45]","[108.0, 21.790781, 9.811186, 4.744786, 38.197288, 19.532941]",2
100,"[50, 42]","[100.0, 15.603911, 5.05684, 4.672637, 17.733168, 13.447217]",2
98,"[47, 41]","[98.0, 11.729488, 7.04086, -0.0, 127.855229, 11.041875]",2
131,"[73, 41]","[131.0, 8.410331, 6.471207, -0.0, 142.331341, 13.813892]",2
114,"[62, 41]","[114.0, 19.992348, 13.70006, 8.733333, 63.620945, 0.067995]",2
107,"[54, 36]","[107.0, 11.209864, 3.944569, -4.629273, 165.546435, 12.48907]",2
115,"[64, 37]","[115.0, 19.459042, 2.28567, -4.336124, 26.762197, 1.924314]",2
111,"[58, 34]","[111.0, 9.111009, 6.758124, -0.0, 165.314796, 20.658068]",2
120,"[67, 33]","[120.0, 19.426052, 6.640174, 4.685234, 95.215944, 11.909787]",2
102,"[51, 28]","[102.0, 13.6332, 11.914268, 6.971202, 116.943724, 14.757536]",2
119,"[67, 20]","[119.0, 12.224244, 1.172633, -4.379033, 29.531155, 7.503429]",2
