Ve1,Ve2,Ve3,Ve4,Veg,Vs1,Vs2,Vs3,Vs4,Vsg
3,5,3,2,0.3504273504273504,2,2,0,0,0.15384615384615385
2,2,2,1,0.19658119658119658,0,1,0,0,0.02564102564102564
1,4,1,2,0.18803418803418803,1,0,0,1,0.05982905982905983
3,1,1,3,0.2222222222222222,1,0,0,1,0.05982905982905983
2,6,0,2,0.27350427350427353,1,2,0,1,0.1111111111111111
2,3,2,2,0.23076923076923078,1,1,1,1,0.10256410256410256
2,3,2,2,0.23076923076923078,1,0,1,1,0.07692307692307693
1,5,1,1,0.20512820512820512,0,2,0,1,0.05982905982905983
2,2,0,1,0.1623931623931624,0,0,0,0,0.0
1,2,0,1,0.1111111111111111,0,2,0,1,0.05982905982905983



