ID,Coordenadas,Features,Cluster
1,"[-65, -30]","[1.0, 21.801956, 12.220855, 8.733333, 183.198249, 13.66109]",2
0,"[-65, -33]","[0.0, 16.832452, 13.573215, 8.733333, 33.292088, 13.69494]",2
13,"[-62, -15]","[13.0, 16.793766, 14.357504, 8.733333, 94.697199, 11.294303]",2
14,"[-62, -12]","[14.0, 13.5241, 7.280635, 3.09859, 30.54424, 3.907254]",2
5,"[-64, -8]","[5.0, 14.600359, 9.485389, 4.281817, 92.183273, 16.030557]",2
9,"[-63, -10]","[9.0, 19.79444, 14.362603, 8.733333, 94.271431, 20.556913]",2
17,"[-61, -18]","[17.0, 10.440456, 6.326419, -0.0, 38.349051, 0.67957]",2
18,"[-61, -16]","[18.0, 20.355591, 13.736033, 8.733333, 147.685368, 20.661118]",2
19,"[-61, -10]","[19.0, 12.178728, 11.88311, 6.979704, 48.56992, 6.628733]",2
20,"[-61, -9]","[20.0, 21.45875, 14.392386, 8.733333, 183.484868, 6.501744]",2
26,"[-60, 0]","[26.0, 21.607487, 11.366102, 8.589949, 115.241876, 12.298716]",2
25,"[-60, -7]","[25.0, 15.604149, 10.181027, 4.982862, 18.222693, 18.528545]",2
53,"[-51, -1]","[53.0, 13.894414, 9.82647, 3.541325, 173.988206, 19.913378]",2
57,"[-49, -17]","[57.0, 20.053981, 14.396159, 8.733333, 187.965894, 2.288255]",2
51,"[-52, -17]","[51.0, 20.280485, 4.140376, -0.955708, 116.449833, 3.864719]",2
41,"[-55, -17]","[41.0, 10.618914, 6.581165, -0.0, 91.745099, 9.119496]",2
23,"[-60, -39]","[23.0, 18.095852, 12.73694, 8.733333, 37.732395, 14.260365]",2
28,"[-59, -38]","[28.0, 14.28234, 5.883405, 3.869235, 109.318623, 7.653342]",2
12,"[-62, -36]","[12.0, 16.766489, 14.558892, 8.733333, 144.351607, 17.282298]",2
7,"[-63, -33]","[7.0, 8.850749, 4.177473, -3.836421, 64.494361, 1.394899]",2
8,"[-63, -28]","[8.0, 16.520515, 8.203223, 4.666667, 156.947859, 18.929692]",2
24,"[-60, -35]","[24.0, 15.905819, 14.009899, 8.730487, 57.499635, 0.55502]",2
29,"[-59, -29]","[29.0, 12.65017, 9.832168, 1.637262, 85.145768, 9.812586]",2
38,"[-55, -40]","[38.0, 20.504761, 4.756492, 3.509007, 23.87925, 15.552183]",2
75,"[-41, -40]","[75.0, 17.736419, 13.938954, 8.733333, 125.579276, 6.762072]",2
80,"[-39, -40]","[80.0, 14.872263, 7.099333, 4.564686, 27.774841, 6.54163]",2
64,"[-46, -39]","[64.0, 19.760435, 10.486151, 5.983553, 144.209324, 2.950705]",2
39,"[-55, -34]","[39.0, 20.421104, 14.253331, 8.733333, 121.460788, 21.988816]",2
40,"[-55, -30]","[40.0, 5.0, 0.516691, -8.733333, 90.027539, 6.332686]",2
56,"[-49, -38]","[56.0, 7.919054, 7.475461, -0.0, 23.842908, 20.066914]",2
72,"[-44, -38]","[72.0, 21.612291, 3.814233, -4.409342, 89.674582, 19.73821]",2
48,"[-52, -36]","[48.0, 15.775656, 9.694695, 4.726229, 166.583364, 1.247503]",2
52,"[-51, -33]","[52.0, 20.712399, 10.19554, 5.011175, 108.147867, 4.596827]",2
49,"[-52, -30]","[49.0, 19.490132, 10.640472, 6.63848, 51.288198, 11.481485]",2
44,"[-54, -27]","[44.0, 13.303362, 11.927999, 6.955259, 70.043603, 18.000489]",2
50,"[-52, -26]","[50.0, 18.956682, 11.3203, 8.617869, 122.692147, 7.388677]",2
65,"[-46, -29]","[65.0, 18.344376, 13.363549, 8.733333, 104.499061, 4.677234]",2
54,"[-50, -36]","[54.0, 16.10722, 2.439176, -4.339555, 52.955805, 14.858606]",2
36,"[-56, -20]","[36.0, 12.715977, 12.351867, 8.463907, 141.856341, 21.745194]",2
30,"[-59, -19]","[30.0, 12.068159, 2.5678, -4.37381, 128.888556, 1.193269]",2
84,"[-37, -38]","[84.0, 18.182394, 8.245854, 4.666667, 106.068844, 11.119419]",2
119,"[-21, -28]","[119.0, 16.540274, 1.172633, -4.333333, 75.479109, 17.577126]",2
100,"[-29, -33]","[100.0, 6.081413, 5.05684, -4.183082, 71.845642, 13.276296]",2
117,"[-22, -36]","[117.0, 20.890635, 8.075137, 4.666667, 161.702819, 10.675047]",2
78,"[-40, -30]","[78.0, 5.0, 3.766258, -8.427837, 194.548171, 21.898574]",2
77,"[-40, -32]","[77.0, 15.941224, 2.948929, -4.35902, 186.570714, 2.236727]",2
