ID,Coordenadas,Features,Cluster
208,"[30, 3]","[208.0, 17.01935, 8.252345, 4.666667, 99.823203, 3.701529]",0
224,"[33, 34]","[224.0, 14.350632, 2.772245, -4.373582, 28.408224, 3.656478]",0
201,"[26, 37]","[201.0, 13.131036, 9.664772, 2.518285, 29.302982, 11.686604]",0
173,"[7, 38]","[173.0, 15.345683, 12.317911, 8.694646, 49.346905, 16.678184]",0
183,"[14, 38]","[183.0, 11.534308, 11.170392, 4.827773, 185.662612, 8.712148]",0
191,"[20, 38]","[191.0, 21.747338, 13.94079, 8.733333, 110.458268, 6.947852]",0
147,"[-7, 36]","[147.0, 10.522624, 3.598742, -4.806968, 37.942081, 8.088364]",0
195,"[22, 34]","[195.0, 16.048351, 6.701756, 4.679552, 72.482292, 2.863332]",0
175,"[10, 35]","[175.0, 5.0, 0.645357, -8.733333, 16.696563, 14.420957]",0
182,"[14, 29]","[182.0, 15.65434, 4.444812, 1.986337, 116.289298, 16.917082]",0
144,"[-9, 30]","[144.0, 9.935531, 7.698743, -0.0, 27.25851, 15.070626]",0
169,"[4, 26]","[169.0, 12.11455, 8.628129, 0.343259, 114.932244, 13.277736]",0
156,"[-1, 27]","[156.0, 11.030572, 7.33879, -0.0, 163.079442, 10.658568]",0
219,"[32, 1]","[219.0, 19.108023, 3.414964, -4.384155, 83.40579, 1.70163]",0
204,"[28, 0]","[204.0, 14.399809, 7.992384, 4.076727, 127.039583, 2.782997]",0
223,"[33, 12]","[223.0, 6.557513, 6.453111, -0.0, 21.141885, 6.895438]",0
215,"[31, 13]","[215.0, 13.299369, 12.664632, 8.368775, 54.058866, 15.470911]",0
193,"[22, 0]","[193.0, 12.080907, 7.301874, 0.244395, 6.398203, 15.321526]",0
206,"[29, 7]","[206.0, 18.185394, 14.085023, 8.733333, 107.719336, 2.16907]",0
209,"[30, 10]","[209.0, 21.464284, 9.337126, 4.683193, 107.160211, 4.317476]",0
205,"[28, 9]","[205.0, 19.913834, 5.260907, 4.702901, 56.373371, 2.954673]",0
202,"[27, 10]","[202.0, 12.861708, 5.679141, 2.301775, 37.814435, 2.393995]",0
197,"[24, 8]","[197.0, 13.713652, 7.62763, 3.3331, 97.913998, 0.172046]",0
190,"[20, 4]","[190.0, 16.146622, 1.216887, -4.333333, 41.881017, 1.306873]",0
194,"[22, 10]","[194.0, 8.17113, 6.537879, -0.0, 122.942684, 2.757308]",0
203,"[27, 26]","[203.0, 17.353566, 12.173707, 8.733333, 8.530482, 13.89886]",0
