ID,Coordenadas,Features,Cluster
141,"[-11, 37]","[141.0, 16.191171, 12.795467, 8.733333, 106.812825, 1.89716]",1
135,"[-15, 35]","[135.0, 5.574176, 2.183085, -8.719492, 39.972565, 12.830086]",1
125,"[-20, 35]","[125.0, 21.834923, 12.259548, 8.733333, 87.728997, 20.746179]",1
126,"[-20, 38]","[126.0, 15.734345, 13.030421, 8.723577, 166.700119, 15.041743]",1
103,"[-29, 38]","[103.0, 11.8921, 4.668226, -0.860021, 136.683173, 15.559577]",1
102,"[-29, 32]","[102.0, 17.228196, 11.914268, 8.719198, 78.941495, 16.053608]",1
97,"[-31, 34]","[97.0, 13.797366, 8.532355, 3.43025, 48.557072, 0.227406]",1
22,"[-61, 39]","[22.0, 11.023337, 0.535675, -4.524367, 153.100003, 10.2755]",1
21,"[-61, 38]","[21.0, 18.719774, 9.83611, 4.749161, 53.812317, 7.324598]",1
63,"[-47, 38]","[63.0, 19.974473, 7.589356, 4.666667, 108.777187, 6.598614]",1
74,"[-43, 38]","[74.0, 12.83509, 3.652875, -4.402245, 152.700928, 2.054151]",1
66,"[-46, 32]","[66.0, 15.781526, 14.389371, 8.726235, 198.740925, 19.688717]",1
95,"[-32, 38]","[95.0, 15.074175, 14.01016, 8.665299, 8.890818, 6.467407]",1
92,"[-33, 37]","[92.0, 9.971951, 0.809252, -4.797345, 29.999451, 2.401393]",1
73,"[-44, 30]","[73.0, 19.188506, 12.214272, 8.733333, 73.163235, 4.32648]",1
88,"[-37, 35]","[88.0, 21.710988, 11.305936, 8.626227, 134.286228, 1.778973]",1
62,"[-47, 29]","[62.0, 15.051632, 3.826427, -4.410221, 129.462296, 13.13865]",1
116,"[-23, 37]","[116.0, 21.535036, 12.387255, 8.733333, 79.358303, 12.089882]",1
113,"[-25, 34]","[113.0, 7.112791, 3.434655, -7.841996, 177.554191, 16.307589]",1
109,"[-27, 30]","[109.0, 21.814155, 10.338218, 5.396578, 54.054085, 1.354995]",1
71,"[-45, 27]","[71.0, 14.187467, 12.610759, 8.531173, 80.915999, 0.29223]",1
58,"[-49, 28]","[58.0, 13.553272, 5.105786, 3.136211, 129.110375, 16.402014]",1
46,"[-54, 35]","[46.0, 8.910905, 7.346466, -0.0, 83.231718, 3.918573]",1
61,"[-47, 25]","[61.0, 17.813481, 11.269006, 8.646427, 108.943222, 4.05227]",1
4,"[-65, 37]","[4.0, 15.84241, 13.700638, 8.728563, 84.869808, 20.48643]",1
3,"[-65, 34]","[3.0, 5.0, 1.904802, -8.733333, 92.489832, 1.145714]",1
6,"[-64, 22]","[6.0, 13.680424, 1.463106, -4.404538, 154.031946, 16.232516]",1
11,"[-63, 35]","[11.0, 5.0, 2.364196, -8.709176, 35.174883, 18.896654]",1
10,"[-63, 8]","[10.0, 16.142343, 14.473328, 8.733333, 7.152547, 21.656763]",1
2,"[-65, 7]","[2.0, 17.279145, 13.586879, 8.733333, 0.230211, 12.621615]",1
15,"[-62, 28]","[15.0, 17.080653, 12.004207, 8.733333, 68.224921, 8.768969]",1
16,"[-62, 31]","[16.0, 5.0, 2.128295, -8.728153, 121.477843, 2.946488]",1
27,"[-60, 3]","[27.0, 17.081477, 11.146987, 8.700974, 136.672649, 18.790199]",1
34,"[-58, 19]","[34.0, 8.521701, 0.692571, -5.443283, 189.034823, 19.766695]",1
35,"[-58, 29]","[35.0, 21.753114, 1.456977, -4.333333, 41.786984, 2.599414]",1
43,"[-55, 15]","[43.0, 18.631619, 11.482752, 8.509907, 154.057103, 16.807056]",1
45,"[-54, 18]","[45.0, 16.648429, 2.803089, -4.352375, 132.40192, 2.204874]",1
47,"[-53, 23]","[47.0, 16.696876, 6.683793, 4.681215, 168.385831, 7.911968]",1
60,"[-47, 2]","[60.0, 20.223754, 3.357179, -4.379991, 127.863392, 12.360951]",1
